timestep_name,hour,demandb1,demandb2,demandb3,demandb4
t2344,2344,2952.41136,10999.60628,1557.5557,4501.5212100
t2345,2345,2913.5288,10833.6458,1543.58739,4612.4877400
t2346,2346,2711.2522,10051.41322,1476.22953,4634.8132400
t2347,2347,2432.87957,9264.59007,1436.91863,4696.4721800
t2348,2348,2638.55757,9965.07682,1497.14674,4741.7199800
t2349,2349,2867.16365,10700.13445,1572.39927,4843.2475800
t235,235,2822.15303,10443.80217,1583.72213,4910.6223300
t2351,2351,2696.86266,9823.29935,1559.08566,5077.4613300
t2352,2352,2655.39671,9495.41695,1546.30032,5118.1965600
t2353,2353,2576.48376,9172.34131,1520.92563,4876.7700200
t2354,2354,2428.41089,8688.9579,1496.68994,4727.0761700
t2355,2355,2317.36284,8330.38152,1473.20334,4742.4637700
t2356,2356,2250.54421,8112.65927,1466.38627,4693.1822500
t2357,2357,2231.40708,8031.23816,1459.2646,4661.2501600
t2358,2358,2267.50927,8128.76317,1463.3155,4657.5723900
t2359,2359,2413.67231,8722.45461,1477.06956,4821.4081700
t236,236,2650.15586,9551.64161,1498.67937,4680.3431100
t2361,2361,2746.92965,9843.49946,1497.79423,4505.5656100
t2362,2362,2870.55555,10344.9585,1536.53835,4579.7986400
t2363,2363,2980.98327,10708.61214,1555.91486,4562.3585400
t2364,2364,3022.64018,10921.22018,1559.79059,4521.5846400
t2365,2365,3001.36338,10972.33777,1558.78901,4503.1158900
t2366,2366,2957.20016,10975.41808,1562.42609,4375.1285200
t2367,2367,2970.65967,11045.48191,1567.95885,4365.3298300
t2368,2368,2952.41136,10999.60628,1557.5557,4501.5212100
t2369,2369,2913.5288,10833.6458,1543.58739,4612.4877400
t237,237,2711.2522,10051.41322,1476.22953,4634.8132400
t2371,2371,2432.87957,9264.59007,1436.91863,4696.4721800
t2372,2372,2638.55757,9965.07682,1497.14674,4741.7199800
t2373,2373,2867.16365,10700.13445,1572.39927,4843.2475800
t2374,2374,2822.15303,10443.80217,1583.72213,4910.6223300
t2375,2375,2696.86266,9823.29935,1559.08566,5077.4613300
t2376,2376,2655.39671,9495.41695,1546.30032,5118.1965600
t2377,2377,2576.48376,9172.34131,1520.92563,4876.7700200
t2378,2378,2428.41089,8688.9579,1496.68994,4727.0761700
t2379,2379,2317.36284,8330.38152,1473.20334,4742.4637700
t238,238,2250.54421,8112.65927,1466.38627,4693.1822500
t2381,2381,2231.40708,8031.23816,1459.2646,4661.2501600
t2382,2382,2267.50927,8128.76317,1463.3155,4657.5723900
t2383,2383,2413.67231,8722.45461,1477.06956,4821.4081700
t2384,2384,2650.15586,9551.64161,1498.67937,4680.3431100
t2385,2385,2746.92965,9843.49946,1497.79423,4505.5656100
t2386,2386,2870.55555,10344.9585,1536.53835,4579.7986400
t2387,2387,2980.98327,10708.61214,1555.91486,4562.3585400
t2388,2388,3022.64018,10921.22018,1559.79059,4521.5846400
t2389,2389,3001.36338,10972.33777,1558.78901,4503.1158900
t239,239,2957.20016,10975.41808,1562.42609,4375.1285200
t2391,2391,2970.65967,11045.48191,1567.95885,4365.3298300
t2392,2392,2952.41136,10999.60628,1557.5557,4501.5212100
t2393,2393,2913.5288,10833.6458,1543.58739,4612.4877400
t2394,2394,2711.2522,10051.41322,1476.22953,4634.8132400
t2395,2395,2432.87957,9264.59007,1436.91863,4696.4721800
t2396,2396,2638.55757,9965.07682,1497.14674,4741.7199800
t2397,2397,2867.16365,10700.13445,1572.39927,4843.2475800
t2398,2398,2822.15303,10443.80217,1583.72213,4910.6223300
t2399,2399,2696.86266,9823.29935,1559.08566,5077.4613300
t24,24,2655.39671,9495.41695,1546.30032,5118.1965600
t2401,2401,2576.48376,9172.34131,1520.92563,4876.7700200
t2402,2402,2428.41089,8688.9579,1496.68994,4727.0761700
t2403,2403,2317.36284,8330.38152,1473.20334,4742.4637700
t2404,2404,2250.54421,8112.65927,1466.38627,4693.1822500
t2405,2405,2231.40708,8031.23816,1459.2646,4661.2501600
t2406,2406,2267.50927,8128.76317,1463.3155,4657.5723900
t2407,2407,2413.67231,8722.45461,1477.06956,4821.4081700
t2408,2408,2650.15586,9551.64161,1498.67937,4680.3431100
t2409,2409,2746.92965,9843.49946,1497.79423,4505.5656100
t241,241,2870.55555,10344.9585,1536.53835,4579.7986400
t2411,2411,2980.98327,10708.61214,1555.91486,4562.3585400
t2412,2412,3022.64018,10921.22018,1559.79059,4521.5846400
t2413,2413,3001.36338,10972.33777,1558.78901,4503.1158900
t2414,2414,2957.20016,10975.41808,1562.42609,4375.1285200
t2415,2415,2970.65967,11045.48191,1567.95885,4365.3298300
t2416,2416,2952.41136,10999.60628,1557.5557,4501.5212100
t2417,2417,2913.5288,10833.6458,1543.58739,4612.4877400
t2418,2418,2711.2522,10051.41322,1476.22953,4634.8132400
t2419,2419,2432.87957,9264.59007,1436.91863,4696.4721800
t242,242,2638.55757,9965.07682,1497.14674,4741.7199800
t2421,2421,2867.16365,10700.13445,1572.39927,4843.2475800
t2422,2422,2822.15303,10443.80217,1583.72213,4910.6223300
t2423,2423,2696.86266,9823.29935,1559.08566,5077.4613300
t2424,2424,2655.39671,9495.41695,1546.30032,5118.1965600
t2425,2425,2576.48376,9172.34131,1520.92563,4876.7700200
t2426,2426,2428.41089,8688.9579,1496.68994,4727.0761700
t2427,2427,2317.36284,8330.38152,1473.20334,4742.4637700
t2428,2428,2250.54421,8112.65927,1466.38627,4693.1822500
t2429,2429,2231.40708,8031.23816,1459.2646,4661.2501600
t243,243,2267.50927,8128.76317,1463.3155,4657.5723900
t2431,2431,2413.67231,8722.45461,1477.06956,4821.4081700
t2432,2432,2650.15586,9551.64161,1498.67937,4680.3431100
t2433,2433,2746.92965,9843.49946,1497.79423,4505.5656100
t2434,2434,2870.55555,10344.9585,1536.53835,4579.7986400
t2435,2435,2980.98327,10708.61214,1555.91486,4562.3585400
t2436,2436,3022.64018,10921.22018,1559.79059,4521.5846400
t2437,2437,3001.36338,10972.33777,1558.78901,4503.1158900
t2438,2438,2957.20016,10975.41808,1562.42609,4375.1285200
t2439,2439,2970.65967,11045.48191,1567.95885,4365.3298300
t244,244,2952.41136,10999.60628,1557.5557,4501.5212100
t2441,2441,2913.5288,10833.6458,1543.58739,4612.4877400
t2442,2442,2711.2522,10051.41322,1476.22953,4634.8132400
t2443,2443,2432.87957,9264.59007,1436.91863,4696.4721800
t2444,2444,2638.55757,9965.07682,1497.14674,4741.7199800
t2445,2445,2867.16365,10700.13445,1572.39927,4843.2475800
t2446,2446,2822.15303,10443.80217,1583.72213,4910.6223300
t2447,2447,2696.86266,9823.29935,1559.08566,5077.4613300
t2448,2448,2655.39671,9495.41695,1546.30032,5118.1965600
t2449,2449,2576.48376,9172.34131,1520.92563,4876.7700200
t245,245,2428.41089,8688.9579,1496.68994,4727.0761700
t2451,2451,2317.36284,8330.38152,1473.20334,4742.4637700
t2452,2452,2250.54421,8112.65927,1466.38627,4693.1822500
t2453,2453,2231.40708,8031.23816,1459.2646,4661.2501600
t2454,2454,2267.50927,8128.76317,1463.3155,4657.5723900
t2455,2455,2413.67231,8722.45461,1477.06956,4821.4081700
t2456,2456,2650.15586,9551.64161,1498.67937,4680.3431100
t2457,2457,2746.92965,9843.49946,1497.79423,4505.5656100
t2458,2458,2870.55555,10344.9585,1536.53835,4579.7986400
t2459,2459,2980.98327,10708.61214,1555.91486,4562.3585400
t246,246,3022.64018,10921.22018,1559.79059,4521.5846400
t2461,2461,3001.36338,10972.33777,1558.78901,4503.1158900
t2462,2462,2957.20016,10975.41808,1562.42609,4375.1285200
t2463,2463,2970.65967,11045.48191,1567.95885,4365.3298300
t2464,2464,2952.41136,10999.60628,1557.5557,4501.5212100
t2465,2465,2913.5288,10833.6458,1543.58739,4612.4877400
t2466,2466,2711.2522,10051.41322,1476.22953,4634.8132400
t2467,2467,2432.87957,9264.59007,1436.91863,4696.4721800
t2468,2468,2638.55757,9965.07682,1497.14674,4741.7199800
t2469,2469,2867.16365,10700.13445,1572.39927,4843.2475800
t247,247,2822.15303,10443.80217,1583.72213,4910.6223300
t2471,2471,2696.86266,9823.29935,1559.08566,5077.4613300
t2472,2472,2655.39671,9495.41695,1546.30032,5118.1965600
t2473,2473,2576.48376,9172.34131,1520.92563,4876.7700200
